Feature,Coefficient
const,0.0
loan_amount,-0.10000402082272483
loan_to_value_ratio,0.1468707101126704
interest_rate,0.2890992004433779
total_loan_costs,0.020996820916919536
origination_charges,0.05430160843908548
loan_term,0.0
property_value,-0.006919207517009559
income,0.013234641003248646
tract_population,-0.008863978930174411
tract_minority_population_percent,-0.0008169410898629234
ffiec_msa_md_median_family_income,0.01848517585490294
tract_to_msa_income_percentage,-0.0076834797287856325
tract_owner_occupied_units,0.006081761551068367
tract_one_to_four_family_homes,0.007043968720014544
tract_median_age_of_housing_units,-0.0007984898445565619
conforming_loan_limit_NC,-0.0012576724442280938
derived_loan_product_type_Conventional:Subordinate Lien,-0.00302873446018036
derived_loan_product_type_FHA:First Lien,0.23053708538786344
derived_loan_product_type_FSA/RHS:First Lien,0.015024015298452728
derived_loan_product_type_VA:First Lien,-0.0698451475271882
derived_dwelling_category_Single Family (1-4 Units):Site-Built,-0.00038699354363423325
derived_ethnicity_Ethnicity Not Available,0.010771540390463382
derived_ethnicity_Hispanic or Latino,0.02118778566693405
derived_ethnicity_Joint,0.002976626637653076
derived_race_2 or more minority races,0.0016413888065802717
derived_race_American Indian or Alaska Native,-0.0033964313700253017
derived_race_Asian,0.0008645450228046535
derived_race_Black or African American,0.017756007260226376
derived_race_Joint,0.0007891374708213771
derived_race_Native Hawaiian or Other Pacific Islander,-0.00036906393182700015
derived_race_Race Not Available,-0.0023721742148321776
derived_sex_Female,-0.0016065665015180038
derived_sex_Joint,-0.017204624185538912
derived_sex_Sex Not Available,-0.007741238006473552
"purchaser_type_Commercial bank, savings bank, or savings association",-0.008612034162434546
"purchaser_type_Credit union, mortgage company, or finance company",0.010169730780942167
purchaser_type_Fannie Mae,0.0
purchaser_type_Freddie Mac,-0.015872169637767213
purchaser_type_Ginnie Mae,-0.00020597747826068462
purchaser_type_Life insurance company,0.00025758288518179935
purchaser_type_Not applicable,0.0034785870029170767
purchaser_type_Other type of purchaser,-0.0010535741064059696
purchaser_type_Private securitizer,0.003014439880717893
preapproval_Preapproval requested,-0.00527069524016046
loan_type_Federal Housing Administration insured (FHA),4.550318727080238e-05
loan_type_USDA Rural Housing Service or Farm Service Agency guaranteed (RHS or FSA),0.0008419939357316031
loan_type_Veterans Affairs guaranteed (VA),-0.002922482232731975
lien_status_Secured by a subordinate lien,-1.3217223270791239e-06
reverse_mortgage_Not a reverse mortgage,0.0
open-end_line_of_credit_Not an open-end line of credit,0.0
hoepa_status_Not a high-cost mortgage,0.0
hoepa_status_Not applicable,-0.0009980081209597304
negative_amortization_No negative amortization,0.0
interest_only_payment_No interest-only payments,-0.0008869703629646686
balloon_payment_No balloon payment,0.0
other_nonamortizing_features_Other non-fully amortizing features,0.0031585910312716997
construction_method_Site-built,-4.503753815229405e-07
manufactured_home_secured_property_type_Not applicable,-3.480884689157857e-17
manufactured_home_land_property_interest_Not applicable,-4.448008912761043e-19
total_units_2,0.0075773168007817705
total_units_3,0.004881521083913853
total_units_4,0.004757833017308709
debt_to_income_ratio_30%-<36%,0.010200045919793085
debt_to_income_ratio_36,0.006674984373662664
debt_to_income_ratio_37,0.006726138996372914
debt_to_income_ratio_38,0.008063263265929805
