Feature,Coefficient
const,4.911357161335537
loan_amount,0.05895152476797733
loan_to_value_ratio,-0.3317263284902631
loan_term,0.0
property_value,0.011598609668268898
income,-0.027930716345418466
tract_population,-0.04009254292994122
tract_minority_population_percent,0.050063406609246255
ffiec_msa_md_median_family_income,0.33668778097544644
tract_to_msa_income_percentage,-0.12376893219111132
tract_owner_occupied_units,-0.02339689067928709
tract_one_to_four_family_homes,0.0949213827631174
tract_median_age_of_housing_units,0.0
conforming_loan_limit_NC,-0.012136850143707165
derived_loan_product_type_Conventional:Subordinate Lien,-0.00575606765613748
derived_loan_product_type_FHA:First Lien,-0.06240457335691013
derived_loan_product_type_FHA:Subordinate Lien,0.0
derived_loan_product_type_FSA/RHS:First Lien,0.0
derived_loan_product_type_VA:First Lien,0.0
derived_dwelling_category_Single Family (1-4 Units):Site-Built,0.010106126309661413
"purchaser_type_Commercial bank, savings bank, or savings association",0.5135850684479785
"purchaser_type_Credit union, mortgage company, or finance company",0.5770553445441308
purchaser_type_Fannie Mae,0.14865413949783676
purchaser_type_Farmer Mac,0.0
purchaser_type_Freddie Mac,0.0
purchaser_type_Ginnie Mae,0.369716142556877
purchaser_type_Life insurance company,0.0
purchaser_type_Not applicable,-1.9641324826812334
purchaser_type_Other type of purchaser,0.09206498421152749
purchaser_type_Private securitizer,0.0
preapproval_Preapproval requested,0.0
loan_type_Federal Housing Administration insured (FHA),-0.06251811535164045
loan_type_USDA Rural Housing Service or Farm Service Agency guaranteed (RHS or FSA),0.0
loan_type_Veterans Affairs guaranteed (VA),0.0
lien_status_Secured by a subordinate lien,-0.005906797589274971
reverse_mortgage_Not a reverse mortgage,0.0
open-end_line_of_credit_Not an open-end line of credit,0.06755389065184045
open-end_line_of_credit_Open-end line of credit,-0.06755389065188105
hoepa_status_Not a high-cost mortgage,1.4581558891029305
hoepa_status_Not applicable,-1.6180642130007372
negative_amortization_No negative amortization,0.0021265761663061635
interest_only_payment_No interest-only payments,0.0
balloon_payment_No balloon payment,0.029056104542387585
other_nonamortizing_features_Other non-fully amortizing features,-0.03074055029886721
construction_method_Site-built,0.010106126309661413
manufactured_home_secured_property_type_Manufactured home and not land,0.0
manufactured_home_secured_property_type_Not applicable,0.010106126309661413
manufactured_home_land_property_interest_Not applicable,0.010106126309661413
total_units_2,3.309053948025027e-10
total_units_3,0.013861164908686939
total_units_4,0.0506453652351647
debt_to_income_ratio_30%-<36%,0.0086586211626673
debt_to_income_ratio_36,0.03549541806466647
debt_to_income_ratio_37,0.09528964775168397
debt_to_income_ratio_38,0.0900737010501658
debt_to_income_ratio_39,0.05242477171013938
debt_to_income_ratio_40,0.0
debt_to_income_ratio_41,-0.0013341677609649274
debt_to_income_ratio_42,0.046899277303316896
debt_to_income_ratio_43,-0.11191131561791058
debt_to_income_ratio_44,-0.12263305807764961
debt_to_income_ratio_45,-0.061425164121281316
debt_to_income_ratio_46,-0.022890476678705977
debt_to_income_ratio_47,0.0
debt_to_income_ratio_48,-0.2162905088118813
debt_to_income_ratio_49,-0.16583847526769518
debt_to_income_ratio_50%-60%,-0.38829840987423986
debt_to_income_ratio_<20%,-0.17363662723582723
debt_to_income_ratio_>60%,-0.5727348502708884
debt_to_income_ratio_Exempt,0.020470919697744807
applicant_credit_score_type_Experian Fair Isaac,0.0
applicant_credit_score_type_FICO Risk Score Classic 04,0.02004510153744401
applicant_credit_score_type_FICO Risk Score Classic 98,0.044391595022828946
applicant_credit_score_type_More than one credit scoring model,-0.23135832539342585
applicant_credit_score_type_Not applicable,-0.11991326333762999
applicant_credit_score_type_Other credit scoring model,0.053201874674934396
applicant_credit_score_type_VantageScore 2.0,0.0
applicant_credit_score_type_VantageScore 3.0,0.0
co-applicant_credit_score_type_Experian Fair Isaac,0.042688681120699595
co-applicant_credit_score_type_FICO Risk Score Classic 04,0.03881412433587662
co-applicant_credit_score_type_FICO Risk Score Classic 98,0.008335321946137194
co-applicant_credit_score_type_More than one credit scoring model,0.02202197001309792
co-applicant_credit_score_type_No co-applicant,0.0
co-applicant_credit_score_type_Not applicable,-0.42566976060764883
co-applicant_credit_score_type_Other credit scoring model,0.04552862729013104
co-applicant_credit_score_type_VantageScore 2.0,0.0
co-applicant_credit_score_type_VantageScore 3.0,0.0
applicant_ethnicity-1_Hispanic or Latino,0.3147709440651942
"applicant_ethnicity-1_Information not provided by applicant in mail, internet, or telephone application",0.1557676098033559
applicant_ethnicity-1_Not applicable,0.0
co-applicant_ethnicity-1_Hispanic or Latino,0.130826600328248
"co-applicant_ethnicity-1_Information not provided by applicant in mail, internet, or telephone application",-0.007345413552365629
co-applicant_ethnicity-1_No co-applicant,0.0
co-applicant_ethnicity-1_Not applicable,0.002744488882490885
applicant_ethnicity_observed_Not applicable,-0.18177591350280117
applicant_ethnicity_observed_Not collected on the basis of visual observation or surname,-0.12427373061041842
co-applicant_ethnicity_observed_No co-applicant,0.0
co-applicant_ethnicity_observed_Not applicable,0.0143452687217135
co-applicant_ethnicity_observed_Not collected on the basis of visual observation or surname,0.07553265146324524
applicant_race-1_American Indian or Alaska Native,0.0
applicant_race-1_Asian,0.0
applicant_race-1_Black or African American,-0.04823108994349173
"applicant_race-1_Information not provided by applicant in mail, internet, or telephone application",-0.38050800763919207
applicant_race-1_Native Hawaiian or Other Pacific Islander,0.002390725307336651
applicant_race-1_Not applicable,0.0
co-applicant_race-1_American Indian or Alaska Native,-0.018816138918111257
co-applicant_race-1_Asian,-0.06586458579719898
co-applicant_race-1_Black or African American,0.0
"co-applicant_race-1_Information not provided by applicant in mail, internet, or telephone application",-0.028744678675547714
co-applicant_race-1_Native Hawaiian or Other Pacific Islander,0.0
co-applicant_race-1_No co-applicant,0.0
applicant_race_observed_Not applicable,-0.38855483436491195
applicant_race_observed_Not collected on the basis of visual observation or surname,0.0
co-applicant_race_observed_No co-applicant,0.0
co-applicant_race_observed_Not applicable,0.0030498282931310633
co-applicant_race_observed_Not collected on the basis of visual observation or surname,0.0
applicant_sex_Applicant selected both male and female,-0.009162543099446214
applicant_sex_Female,-0.15664708654833528
"applicant_sex_Information not provided by applicant in mail, internet, or telephone application",-0.035931431475964795
co-applicant_sex_Co-applicant selected both male and female,0.0
co-applicant_sex_Female,0.035807455903967715
"co-applicant_sex_Information not provided by applicant in mail, internet, or telephone application",0.013321823228966337
co-applicant_sex_No co-applicant,0.0
co-applicant_sex_Not applicable,0.0
applicant_sex_observed_Not applicable,-0.1516868097475863
applicant_sex_observed_Not collected on the basis of visual observation or surname,-0.17348821964335162
co-applicant_sex_observed_No co-applicant,0.0
co-applicant_sex_observed_Not applicable,0.026541870332247874
co-applicant_sex_observed_Not collected on the basis of visual observation or surname,0.0499591641693583
applicant_age_35-44,0.09270606959082694
applicant_age_45-54,-0.19658438221934002
applicant_age_55-64,-0.21811271491409506
applicant_age_65-74,-0.08725557132359733
applicant_age_<25,-0.09187431379966328
applicant_age_>74,-0.05204456041891212
co-applicant_age_35-44,-0.03170473943908018
co-applicant_age_45-54,0.04854887759660755
co-applicant_age_55-64,0.016176372691154146
co-applicant_age_65-74,-0.1065980334374844
co-applicant_age_8888,-0.003889815263782923
co-applicant_age_9999,0.0
co-applicant_age_<25,-0.12175046394373405
co-applicant_age_>74,-0.037381290164827934
applicant_age_above_62_Yes,0.0
submission_of_application_Submitted directly to your institution,0.32047464758437644
initially_payable_to_institution_Not applicable,-0.6795856298671032
initially_payable_to_institution_Not initially payable to your institution,0.0
aus-1_Guaranteed Underwriting System (GUS),0.03239234777914305
aus-1_Loan Prospector (LP) or Loan Product Advisor,-0.16411489061710238
aus-1_Not applicable,0.3537763805835124
aus-1_Other,-0.026164841327378688
aus-1_Technology Open to Approved Lenders (TOTAL) Scorecard,0.1270236847365401
