Feature,Coefficient
const,4.255622351778296
loan_amount,-0.05470983863317462
loan_to_value_ratio,-0.33314096979742147
loan_term,0.0
property_value,0.045884353853121444
income,0.02528447267696399
tract_population,0.0
tract_minority_population_percent,-0.009856146925387868
ffiec_msa_md_median_family_income,-0.21096320109115405
tract_to_msa_income_percentage,-0.11375915341863656
tract_owner_occupied_units,-0.03328227175338654
tract_one_to_four_family_homes,0.05814895979053238
tract_median_age_of_housing_units,0.0
conforming_loan_limit_NC,0.0
derived_loan_product_type_Conventional:Subordinate Lien,0.016987127065914397
derived_loan_product_type_FHA:First Lien,-0.055667968510876596
derived_loan_product_type_FHA:Subordinate Lien,0.0
derived_loan_product_type_FSA/RHS:First Lien,0.0
derived_loan_product_type_VA:First Lien,-0.007762889557992899
derived_dwelling_category_Single Family (1-4 Units):Site-Built,0.009619171989724338
derived_ethnicity_Ethnicity Not Available,-0.11089209746668471
derived_ethnicity_Hispanic or Latino,-0.2535826790543758
derived_ethnicity_Joint,-0.05288583141402944
derived_race_2 or more minority races,-0.022515150824634917
derived_race_American Indian or Alaska Native,-0.012374865033437129
derived_race_Asian,0.2560977816831467
derived_race_Black or African American,-0.06502682923924775
derived_race_Joint,-0.06697617890360487
derived_race_Native Hawaiian or Other Pacific Islander,-0.018909804801879565
derived_race_Race Not Available,-0.0709244346270507
derived_sex_Female,0.0
derived_sex_Joint,0.0001651192733544018
derived_sex_Sex Not Available,-0.012500727406834267
"purchaser_type_Commercial bank, savings bank, or savings association",0.829101283468157
"purchaser_type_Credit union, mortgage company, or finance company",0.7664791927487411
purchaser_type_Fannie Mae,0.0
purchaser_type_Freddie Mac,-0.12208431024843919
purchaser_type_Ginnie Mae,0.13546516788728433
purchaser_type_Life insurance company,0.0
purchaser_type_Not applicable,-1.471623904659193
purchaser_type_Other type of purchaser,0.5184583959380172
purchaser_type_Private securitizer,0.0
preapproval_Preapproval requested,0.1674209110801101
loan_type_Federal Housing Administration insured (FHA),-0.058587008313392266
loan_type_USDA Rural Housing Service or Farm Service Agency guaranteed (RHS or FSA),0.0
loan_type_Veterans Affairs guaranteed (VA),-0.007762889557992899
lien_status_Secured by a subordinate lien,0.0
reverse_mortgage_Not a reverse mortgage,0.0
open-end_line_of_credit_Open-end line of credit,-0.2621183794681939
hoepa_status_Not a high-cost mortgage,1.5542902478071319
hoepa_status_Not applicable,-1.8175151422665585
negative_amortization_No negative amortization,0.0
interest_only_payment_No interest-only payments,-0.1376766962911434
balloon_payment_No balloon payment,-0.05822779802568845
other_nonamortizing_features_Other non-fully amortizing features,0.0
construction_method_Site-built,0.009619171989724338
manufactured_home_secured_property_type_Manufactured home and not land,0.0
manufactured_home_secured_property_type_Not applicable,0.009619171989724338
manufactured_home_land_property_interest_Not applicable,0.009619171989724338
total_units_2,-0.06342869010962475
