Feature,Coefficient
const,0.0
loan_amount,-0.1869736198223801
loan_to_value_ratio,0.15105796095258395
interest_rate,0.09738371724670054
total_loan_costs,0.09317149460199577
origination_charges,0.014135195499811258
loan_term,0.0
property_value,0.06495405714761553
income,0.026120534288819434
tract_population,-0.002500056531214834
tract_minority_population_percent,0.00017822121242104202
ffiec_msa_md_median_family_income,0.006389790839497004
tract_to_msa_income_percentage,-0.0012270954977077716
tract_owner_occupied_units,0.0005512608390990262
tract_one_to_four_family_homes,-0.004636026790579797
tract_median_age_of_housing_units,0.0051045914667428305
conforming_loan_limit_NC,-0.0018811058779750365
derived_loan_product_type_Conventional:Subordinate Lien,0.0
derived_loan_product_type_FHA:First Lien,0.190261840496857
derived_loan_product_type_FHA:Subordinate Lien,0.0029889314589235812
derived_loan_product_type_FSA/RHS:First Lien,-0.00030548854445009533
derived_loan_product_type_VA:First Lien,-0.11135958265306502
derived_dwelling_category_Single Family (1-4 Units):Site-Built,-0.00900031110759912
"purchaser_type_Commercial bank, savings bank, or savings association",-0.019072485896246688
"purchaser_type_Credit union, mortgage company, or finance company",0.0012988226494091563
purchaser_type_Fannie Mae,0.015429316979946687
purchaser_type_Freddie Mac,0.0
purchaser_type_Ginnie Mae,-0.0014203235281010996
purchaser_type_Life insurance company,0.0036549988850079294
purchaser_type_Not applicable,-0.08057886797304659
purchaser_type_Other type of purchaser,-0.0034833410693331924
purchaser_type_Private securitizer,0.0075387505711790115
preapproval_Preapproval requested,-0.012554846008075226
loan_type_Federal Housing Administration insured (FHA),0.003310109504441163
loan_type_USDA Rural Housing Service or Farm Service Agency guaranteed (RHS or FSA),-0.0017133651049696078
loan_type_Veterans Affairs guaranteed (VA),-0.0017993259845260593
lien_status_Secured by a subordinate lien,0.009714903932052245
reverse_mortgage_Not a reverse mortgage,0.0
open-end_line_of_credit_Not an open-end line of credit,0.0
hoepa_status_Not a high-cost mortgage,0.0016095884923452383
hoepa_status_Not applicable,0.0
negative_amortization_No negative amortization,0.0
interest_only_payment_No interest-only payments,0.0004284216523188621
balloon_payment_No balloon payment,-0.00011498491323000939
other_nonamortizing_features_Other non-fully amortizing features,0.005240754362697956
construction_method_Site-built,-0.00020560174380035236
manufactured_home_secured_property_type_Not applicable,-2.322530747617868e-16
manufactured_home_land_property_interest_Not applicable,-2.341565408356768e-17
total_units_2,0.004950669906636221
total_units_3,0.0003154945873576928
total_units_4,-0.00016249196140913076
debt_to_income_ratio_30%-<36%,0.007288870923312224
debt_to_income_ratio_36,0.0070275936034110325
debt_to_income_ratio_37,0.007646475678084129
debt_to_income_ratio_38,0.007366691313626578
debt_to_income_ratio_39,0.00997571576039805
debt_to_income_ratio_40,0.010101835237410848
debt_to_income_ratio_41,0.010118369007842168
debt_to_income_ratio_42,0.011472319367115623
debt_to_income_ratio_43,0.013492890799154562
debt_to_income_ratio_44,0.01871358266703144
debt_to_income_ratio_45,0.01178699102838914
debt_to_income_ratio_46,0.007627017871088575
debt_to_income_ratio_47,0.007635022682769455
debt_to_income_ratio_48,0.006784438619210194
debt_to_income_ratio_49,0.011628428532247714
debt_to_income_ratio_50%-60%,0.0014149569707484968
debt_to_income_ratio_<20%,-0.005133959718946613
debt_to_income_ratio_>60%,0.004846198055457541
applicant_credit_score_type_Equifax Beacon 5.0,-0.0028474248754530715
applicant_credit_score_type_Experian Fair Isaac,0.0005079982283738756
applicant_credit_score_type_FICO Risk Score Classic 04,0.0
applicant_credit_score_type_FICO Risk Score Classic 98,0.003091277218649235
applicant_credit_score_type_More than one credit scoring model,-0.001644851143556628
applicant_credit_score_type_Not applicable,-0.01199494692886023
applicant_credit_score_type_Other credit scoring model,-0.0009554532597498731
applicant_credit_score_type_VantageScore 2.0,0.008154674618855584
applicant_credit_score_type_VantageScore 3.0,0.006539420686964878
co-applicant_credit_score_type_Equifax Beacon 5.0,0.001648814742362904
co-applicant_credit_score_type_Experian Fair Isaac,0.005368789761161199
co-applicant_credit_score_type_FICO Risk Score Classic 04,0.006388729271023901
co-applicant_credit_score_type_FICO Risk Score Classic 98,-0.000538062334406004
co-applicant_credit_score_type_More than one credit scoring model,-0.004413835773246014
co-applicant_credit_score_type_No co-applicant,-0.0
co-applicant_credit_score_type_Not applicable,-0.0
co-applicant_credit_score_type_Other credit scoring model,-0.01072779406657988
co-applicant_credit_score_type_VantageScore 2.0,0.0025027473393717838
co-applicant_credit_score_type_VantageScore 3.0,0.00014108776977433658
applicant_ethnicity-1_Hispanic or Latino,-0.004518483885266221
"applicant_ethnicity-1_Information not provided by applicant in mail, internet, or telephone application",0.004335397951515301
applicant_ethnicity-1_Not applicable,-0.002937551772231375
co-applicant_ethnicity-1_Hispanic or Latino,0.011672967931448498
"co-applicant_ethnicity-1_Information not provided by applicant in mail, internet, or telephone application",0.002213717744596459
co-applicant_ethnicity-1_No co-applicant,-0.0
co-applicant_ethnicity-1_Not applicable,0.004445238996816701
applicant_ethnicity_observed_Not applicable,-0.0
applicant_ethnicity_observed_Not collected on the basis of visual observation or surname,-0.024870591253044368
co-applicant_ethnicity_observed_No co-applicant,-0.0
co-applicant_ethnicity_observed_Not applicable,-0.0
co-applicant_ethnicity_observed_Not collected on the basis of visual observation or surname,-0.0
applicant_race-1_American Indian or Alaska Native,8.289940473623061e-05
applicant_race-1_Asian,-0.01686277486145446
applicant_race-1_Black or African American,0.014264419604341766
"applicant_race-1_Information not provided by applicant in mail, internet, or telephone application",0.002565828798236942
applicant_race-1_Native Hawaiian or Other Pacific Islander,-0.002640441100090289
co-applicant_race-1_American Indian or Alaska Native,0.0007473503018556509
co-applicant_race-1_Asian,0.00011070113658234867
co-applicant_race-1_Black or African American,0.0038318132168524547
"co-applicant_race-1_Information not provided by applicant in mail, internet, or telephone application",-0.003614471370337225
co-applicant_race-1_Native Hawaiian or Other Pacific Islander,0.0
co-applicant_race-1_No co-applicant,-0.0
co-applicant_race-1_Not applicable,0.00034105798057483576
applicant_race_observed_Not applicable,-0.0
applicant_race_observed_Not collected on the basis of visual observation or surname,-0.019379337287955035
co-applicant_race_observed_No co-applicant,-0.0
co-applicant_race_observed_Not applicable,0.0
co-applicant_race_observed_Not collected on the basis of visual observation or surname,-0.0
applicant_sex_Applicant selected both male and female,0.001988440272197539
applicant_sex_Female,-0.004286369985068688
"applicant_sex_Information not provided by applicant in mail, internet, or telephone application",-0.006250871196675421
applicant_sex_Not applicable,0.0
co-applicant_sex_Co-applicant selected both male and female,-0.00112881957350994
co-applicant_sex_Female,-0.012655053535037873
"co-applicant_sex_Information not provided by applicant in mail, internet, or telephone application",-0.003980161369374056
co-applicant_sex_No co-applicant,-0.0
co-applicant_sex_Not applicable,0.0
applicant_sex_observed_Not applicable,-0.0016725022785571966
applicant_sex_observed_Not collected on the basis of visual observation or surname,0.03464371096799689
co-applicant_sex_observed_No co-applicant,-0.0
co-applicant_sex_observed_Not applicable,-0.0
co-applicant_sex_observed_Not collected on the basis of visual observation or surname,-0.01129757908184384
applicant_age_35-44,0.004053364970167376
applicant_age_45-54,0.008515141009201158
applicant_age_55-64,0.006668575164850686
applicant_age_65-74,0.0036404761263152366
applicant_age_<25,0.008009046833161703
applicant_age_>74,0.007079173518113723
co-applicant_age_35-44,0.0016755142159211906
co-applicant_age_45-54,0.0008751055341810681
co-applicant_age_55-64,-0.0017549111797716401
co-applicant_age_65-74,-0.0016237882987630355
co-applicant_age_8888,0.0053342735073838386
co-applicant_age_9999,-0.03757204651645251
co-applicant_age_<25,0.0024577468059560313
co-applicant_age_>74,-0.0036251457516564825
applicant_age_above_62_Yes,-0.0017828744478304587
submission_of_application_Submitted directly to your institution,0.04293499212052051
initially_payable_to_institution_Not initially payable to your institution,0.032585444811465976
aus-1_Guaranteed Underwriting System (GUS),-0.0025102660328894214
aus-1_Internal Proprietary System,-0.029865542571604602
aus-1_Loan Prospector (LP) or Loan Product Advisor,-0.0045599911269626585
aus-1_Not applicable,0.01586428239488163
aus-1_Other,-0.007322583665550579
aus-1_Technology Open to Approved Lenders (TOTAL) Scorecard,-0.01757027695098481
